Année;Entrées (millions);Recette moyenne par entrée (€)
2024;181,3;12
2023;180,3;7,4
2022;152;7,2
2021;95,5;7,04
2020;65,3;6,63
2019;213,2;6,79
2018;201,2;6,64
2017;209,4;6,59
2016;213,2;6,51
2015;205,4;6,48
2014;209,1;6,38
2013;193,7;6,46
2012;203,6;6,42
2011;217,2;6,33
2010;207,1;6,33
2009;201,6;6,14
2008;190,3;6,01
2007;178,5;5,95
2006;188,8;5,94
2005;175,6;5,87
2004;195,8;5,82
2003;173,5;5,74
2002;184,4;5,59
2001;187,5;5,45
2000;165,8;5,39
1999;153,6;5,36
1998;170,6;5,38
1997;149,3;5,29
1996;136,7;5,31
1995;130,2;5,3
1994;124,4;5,25
1993;132,7;5,19
1992;116;5,18
1991;117,5;5,04
1990;121,9;4,78
1989;120,9;4,64
1988;124,7;4,44
1987;136,9;4,22
1986;168,1;4,02
1985;175,1;3,8
1984;190,9;3,58
1983;198,9;3,38
1982;201,9;3,12
1981;189,2;2,8
1980;175,4;2,46
