Code departement;Total;nom_region
1;679498;Auvergne-Rhone-Alpes
2;521632;Hauts-de-France
3;332708;Auvergne-Rhone-Alpes
4;168161;Provence-Alpes-Cote d'Azur
5;141661;Provence-Alpes-Cote d'Azur
6;1119571;Provence-Alpes-Cote d'Azur
7;336501;Auvergne-Rhone-Alpes
8;265737;Grand Est
9;155813;Occitanie
10;312730;Grand Est
11;378775;Occitanie
12;279470;Occitanie
13;2078397;Provence-Alpes-Cote d'Azur
14;706605;Normandie
15;143567;Auvergne-Rhone-Alpes
16;349856;Nouvelle-Aquitaine
17;674439;Nouvelle-Aquitaine
18;295729;Centre-Val de Loire
19;238962;Nouvelle-Aquitaine
2A;167658;Corse
2B;187870;Corse
21;537752;Bourgogne-Franche-Comte
22;611351;Bretagne
23;113922;Nouvelle-Aquitaine
24;413192;Nouvelle-Aquitaine
25;552321;Bourgogne-Franche-Comte
26;524109;Auvergne-Rhone-Alpes
27;598339;Normandie
28;430422;Centre-Val de Loire
29;931604;Bretagne
30;766765;Occitanie
31;1487804;Occitanie
32;193695;Occitanie
33;1707780;Nouvelle-Aquitaine
34;1243225;Occitanie
35;1127720;Bretagne
36;213871;Centre-Val de Loire
37;616751;Centre-Val de Loire
38;1307146;Auvergne-Rhone-Alpes
39;257483;Bourgogne-Franche-Comte
40;434933;Nouvelle-Aquitaine
41;326941;Centre-Val de Loire
42;775102;Auvergne-Rhone-Alpes
43;226900;Auvergne-Rhone-Alpes
44;1503876;Pays de la Loire
45;689581;Centre-Val de Loire
46;175800;Occitanie
47;330385;Nouvelle-Aquitaine
48;76647;Occitanie
49;834135;Pays de la Loire
50;494200;Normandie
51;562874;Grand Est
52;168200;Grand Est
53;304981;Pays de la Loire
54;730320;Grand Est
55;178562;Grand Est
56;782348;Bretagne
57;1055259;Grand Est
58;198936;Bourgogne-Franche-Comte
59;2614334;Hauts-de-France
60;830176;Hauts-de-France
61;272379;Normandie
62;1455555;Hauts-de-France
63;665094;Auvergne-Rhone-Alpes
64;706361;Nouvelle-Aquitaine
65;232534;Occitanie
66;497810;Occitanie
67;1170551;Grand Est
68;769047;Grand Est
69;1926989;Auvergne-Rhone-Alpes
70;232523;Bourgogne-Franche-Comte
71;546695;Bourgogne-Franche-Comte
72;566096;Pays de la Loire
73;451819;Auvergne-Rhone-Alpes
74;866490;Auvergne-Rhone-Alpes
75;2087577;Ile-de-France
76;1255554;Normandie
77;1464783;Ile-de-France
78;1473664;Ile-de-France
79;373682;Nouvelle-Aquitaine
80;562126;Hauts-de-France
81;398772;Occitanie
82;267619;Occitanie
83;1121506;Provence-Alpes-Cote d'Azur
84;568715;Provence-Alpes-Cote d'Azur
85;717301;Pays de la Loire
86;440921;Nouvelle-Aquitaine
87;370339;Nouvelle-Aquitaine
88;355431;Grand Est
89;328774;Bourgogne-Franche-Comte
90;137235;Bourgogne-Franche-Comte
91;1331827;Ile-de-France
92;1651407;Ile-de-France
93;1701072;Ile-de-France
94;1433927;Ile-de-France
95;1275704;Ile-de-France
971;378561;Territoires et departements d'outre-mer
972;349925;Territoires et departements d'outre-mer
973;295385;Territoires et departements d'outre-mer
974;885700;Territoires et departements d'outre-mer
976;320901;Territoires et departements d'outre-mer
